"start_id","end_id","type","score","topic_id","keywords"
"european_commission","eu_strategy_for_research_and_innovation","SHARED_TOPIC","0.657","3","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"european_green_deal","eu_missions","SHARED_TOPIC","0.643","6","[""europe"",""missions"",""horizon europe"",""horizon"",""deal""]"
"eu_health_industry","eus_ai_strategy","SHARED_TOPIC","0.533","0","[""health"",""eu"",""european health"",""european"",""data""]"
"horizon_europe","eu_strategy_3","SHARED_TOPIC","0.684","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_strategy_3","horizon_europe_strategic_plan","SHARED_TOPIC","0.867","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"horizon_europe","horizon_europe_strategic_plan","SHARED_TOPIC","0.692","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"horizon_europe_strategic_plan","eu_strategy_for_2025_2027","SHARED_TOPIC","0.779","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_strategy_3","eu_strategy_for_2025_2027","SHARED_TOPIC","0.827","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"horizon_europe","eu_strategy_for_2025_2027","SHARED_TOPIC","0.589","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"cluster_2","cluster_4","SHARED_TOPIC","0.453","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_4","cluster_6","SHARED_TOPIC","0.433","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_2","cluster_6","SHARED_TOPIC","0.581","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_6","cluster_5","SHARED_TOPIC","0.542","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_4","cluster_5","SHARED_TOPIC","0.815","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_2","cluster_5","SHARED_TOPIC","0.446","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"eu_strategy_for_research_and_innovation","european_innovation_council","SHARED_TOPIC","0.793","3","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"european_commission","european_innovation_council","SHARED_TOPIC","0.555","3","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"european_innovation_council","european_institute_of_innovation_and_technology","SHARED_TOPIC","0.724","3","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"eu_strategy_for_research_and_innovation","european_institute_of_innovation_and_technology","SHARED_TOPIC","0.632","3","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"european_commission","european_institute_of_innovation_and_technology","SHARED_TOPIC","0.397","3","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"eu_strategy_for_2025_2027","european_research_area_era_policy_agenda_actions","SHARED_TOPIC","0.789","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"horizon_europe_strategic_plan","european_research_area_era_policy_agenda_actions","SHARED_TOPIC","0.862","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_strategy_3","european_research_area_era_policy_agenda_actions","SHARED_TOPIC","0.871","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"horizon_europe","european_research_area_era_policy_agenda_actions","SHARED_TOPIC","0.769","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"european_institute_of_innovation_and_technology","india_trade_and_technology_council","SHARED_TOPIC","0.533","3","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"european_innovation_council","india_trade_and_technology_council","SHARED_TOPIC","0.452","3","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"eu_strategy_for_research_and_innovation","india_trade_and_technology_council","SHARED_TOPIC","0.487","3","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"civil_security_for_society","eu_strategy_on_research_security","SHARED_TOPIC","0.457","7","[""security"",""civil"",""civil security"",""society"",""security society""]"
"cluster_5","cluster_1","SHARED_TOPIC","0.55","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_6","cluster_1","SHARED_TOPIC","0.667","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_4","cluster_1","SHARED_TOPIC","0.511","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_2","cluster_1","SHARED_TOPIC","0.822","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"eus_ai_strategy","eu_strategy_for_promoting_health_and_well_being","SHARED_TOPIC","0.37","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","eu_strategy_for_promoting_health_and_well_being","SHARED_TOPIC","0.645","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_promoting_health_and_well_being","eu_strategy_on_health_and_safety_at_work","SHARED_TOPIC","0.557","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eus_ai_strategy","eu_strategy_on_health_and_safety_at_work","SHARED_TOPIC","0.381","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","eu_strategy_on_health_and_safety_at_work","SHARED_TOPIC","0.654","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_health_and_safety_at_work","policy_areas_ensuring_equal_access_to_innovative","SHARED_TOPIC","0.452","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_promoting_health_and_well_being","policy_areas_ensuring_equal_access_to_innovative","SHARED_TOPIC","0.48","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eus_ai_strategy","policy_areas_ensuring_equal_access_to_innovative","SHARED_TOPIC","0.362","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","policy_areas_ensuring_equal_access_to_innovative","SHARED_TOPIC","0.6","0","[""health"",""eu"",""european health"",""european"",""data""]"
"policy_areas_ensuring_equal_access_to_innovative","eu_strategy_on_risk_assessment_of_chemicals","SHARED_TOPIC","0.378","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_health_and_safety_at_work","eu_strategy_on_risk_assessment_of_chemicals","SHARED_TOPIC","0.813","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_promoting_health_and_well_being","eu_strategy_on_risk_assessment_of_chemicals","SHARED_TOPIC","0.525","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","eu_strategy_on_risk_assessment_of_chemicals","SHARED_TOPIC","0.587","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_risk_assessment_of_chemicals","eu_strategy_on_antimicrobial_resistance","SHARED_TOPIC","0.447","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_health_and_safety_at_work","eu_strategy_on_antimicrobial_resistance","SHARED_TOPIC","0.523","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","eu_strategy_on_antimicrobial_resistance","SHARED_TOPIC","0.467","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_policy_area_policy_framework","strengthening_social_and_economic_resilience_and_sustainability","SHARED_TOPIC","0.568","9","[""resilience"",""sustainability"",""project"",""eu"",""policy""]"
"eu_strategy_on_adaptation_to_climate_change","eu_policy_area_climate_change_and_cultural_heritage","SHARED_TOPIC","0.736","5","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eu_strategy_on_research_security","eu_strategy_for_civil_security","SHARED_TOPIC","0.813","7","[""security"",""civil"",""civil security"",""society"",""security society""]"
"civil_security_for_society","eu_strategy_for_civil_security","SHARED_TOPIC","0.535","7","[""security"",""civil"",""civil security"",""society"",""security society""]"
"cluster_1","cluster_3","SHARED_TOPIC","0.576","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_5","cluster_3","SHARED_TOPIC","0.555","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_6","cluster_3","SHARED_TOPIC","0.517","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_4","cluster_3","SHARED_TOPIC","0.561","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_2","cluster_3","SHARED_TOPIC","0.598","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"eu_strategy_on_antimicrobial_resistance","actions","SHARED_TOPIC","0.433","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_risk_assessment_of_chemicals","actions","SHARED_TOPIC","0.498","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_health_and_safety_at_work","actions","SHARED_TOPIC","0.494","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_promoting_health_and_well_being","actions","SHARED_TOPIC","0.402","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eus_ai_strategy","actions","SHARED_TOPIC","0.437","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","actions","SHARED_TOPIC","0.511","0","[""health"",""eu"",""european health"",""european"",""data""]"
"european_unions_strategy_for_the_green_transition","eus_policy_framework_for_r_i_action","SHARED_TOPIC","0.673","8","[""green"",""green deal"",""deal"",""european green"",""policies""]"
"cluster_3","eu_strategy_for_combating_organised_crime","SHARED_TOPIC","0.792","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_1","eu_strategy_for_combating_organised_crime","SHARED_TOPIC","0.428","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_5","eu_strategy_for_combating_organised_crime","SHARED_TOPIC","0.484","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_6","eu_strategy_for_combating_organised_crime","SHARED_TOPIC","0.365","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_4","eu_strategy_for_combating_organised_crime","SHARED_TOPIC","0.544","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_2","eu_strategy_for_combating_organised_crime","SHARED_TOPIC","0.48","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"actions","european_econ","SHARED_TOPIC","0.46","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_risk_assessment_of_chemicals","european_econ","SHARED_TOPIC","0.559","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_health_and_safety_at_work","european_econ","SHARED_TOPIC","0.565","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_promoting_health_and_well_being","european_econ","SHARED_TOPIC","0.471","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eus_ai_strategy","european_econ","SHARED_TOPIC","0.591","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","european_econ","SHARED_TOPIC","0.6","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_civil_security","strengthened_security_research_and_innovation","SHARED_TOPIC","0.727","7","[""security"",""civil"",""civil security"",""society"",""security society""]"
"eu_strategy_on_research_security","strengthened_security_research_and_innovation","SHARED_TOPIC","0.67","7","[""security"",""civil"",""civil security"",""society"",""security society""]"
"civil_security_for_society","strengthened_security_research_and_innovation","SHARED_TOPIC","0.396","7","[""security"",""civil"",""civil security"",""society"",""security society""]"
"european_research_area_era_policy_agenda_actions","eu_strategy","SHARED_TOPIC","0.871","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_strategy_for_2025_2027","eu_strategy","SHARED_TOPIC","0.827","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"horizon_europe_strategic_plan","eu_strategy","SHARED_TOPIC","0.867","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_strategy_3","eu_strategy","SHARED_TOPIC","1.0","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"horizon_europe","eu_strategy","SHARED_TOPIC","0.684","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"european_econ","eu4health","SHARED_TOPIC","0.405","0","[""health"",""eu"",""european health"",""european"",""data""]"
"actions","eu4health","SHARED_TOPIC","0.441","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_antimicrobial_resistance","eu4health","SHARED_TOPIC","0.611","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_risk_assessment_of_chemicals","eu4health","SHARED_TOPIC","0.542","0","[""health"",""eu"",""european health"",""european"",""data""]"
"policy_areas_ensuring_equal_access_to_innovative","eu4health","SHARED_TOPIC","0.487","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_health_and_safety_at_work","eu4health","SHARED_TOPIC","0.691","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_promoting_health_and_well_being","eu4health","SHARED_TOPIC","0.471","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eus_ai_strategy","eu4health","SHARED_TOPIC","0.384","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","eu4health","SHARED_TOPIC","0.717","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_policy_area_climate_change_and_cultural_heritage","eu_policy_area_climate_change","SHARED_TOPIC","0.758","5","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eu_strategy_on_adaptation_to_climate_change","eu_policy_area_climate_change","SHARED_TOPIC","0.929","5","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eus_strategy_for_international_cooperation","eus_digital_decade","SHARED_TOPIC","0.66","4","[""eu"",""global"",""digital"",""space"",""ensure""]"
"european_econ","european_raw_materials_capacity_building","SHARED_TOPIC","0.37","0","[""health"",""eu"",""european health"",""european"",""data""]"
"actions","european_raw_materials_capacity_building","SHARED_TOPIC","0.469","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_risk_assessment_of_chemicals","european_raw_materials_capacity_building","SHARED_TOPIC","0.542","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_health_and_safety_at_work","european_raw_materials_capacity_building","SHARED_TOPIC","0.386","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eus_ai_strategy","european_raw_materials_capacity_building","SHARED_TOPIC","0.384","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","european_raw_materials_capacity_building","SHARED_TOPIC","0.351","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_combating_organised_crime","eu_policy_area_cluster_4","SHARED_TOPIC","0.714","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_3","eu_policy_area_cluster_4","SHARED_TOPIC","0.76","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_1","eu_policy_area_cluster_4","SHARED_TOPIC","0.579","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_5","eu_policy_area_cluster_4","SHARED_TOPIC","0.637","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_6","eu_policy_area_cluster_4","SHARED_TOPIC","0.549","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_4","eu_policy_area_cluster_4","SHARED_TOPIC","0.717","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_2","eu_policy_area_cluster_4","SHARED_TOPIC","0.627","1","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"eus_digital_decade","european_space_agency","SHARED_TOPIC","0.512","4","[""eu"",""global"",""digital"",""space"",""ensure""]"
"eus_strategy_for_international_cooperation","european_space_agency","SHARED_TOPIC","0.588","4","[""eu"",""global"",""digital"",""space"",""ensure""]"
"european_space_agency","eu_strategy_for_transport","SHARED_TOPIC","0.583","4","[""eu"",""global"",""digital"",""space"",""ensure""]"
"eus_digital_decade","eu_strategy_for_transport","SHARED_TOPIC","0.481","4","[""eu"",""global"",""digital"",""space"",""ensure""]"
"eus_strategy_for_international_cooperation","eu_strategy_for_transport","SHARED_TOPIC","0.713","4","[""eu"",""global"",""digital"",""space"",""ensure""]"
"eu_strategy_for_transport","eus_role_in_globalmultilateral_initiatives","SHARED_TOPIC","0.702","4","[""eu"",""global"",""digital"",""space"",""ensure""]"
"european_space_agency","eus_role_in_globalmultilateral_initiatives","SHARED_TOPIC","0.585","4","[""eu"",""global"",""digital"",""space"",""ensure""]"
"eus_digital_decade","eus_role_in_globalmultilateral_initiatives","SHARED_TOPIC","0.527","4","[""eu"",""global"",""digital"",""space"",""ensure""]"
"eus_strategy_for_international_cooperation","eus_role_in_globalmultilateral_initiatives","SHARED_TOPIC","0.746","4","[""eu"",""global"",""digital"",""space"",""ensure""]"
"eu4health","eu_policy_area_health","SHARED_TOPIC","0.764","0","[""health"",""eu"",""european health"",""european"",""data""]"
"european_econ","eu_policy_area_health","SHARED_TOPIC","0.53","0","[""health"",""eu"",""european health"",""european"",""data""]"
"actions","eu_policy_area_health","SHARED_TOPIC","0.452","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_antimicrobial_resistance","eu_policy_area_health","SHARED_TOPIC","0.447","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_risk_assessment_of_chemicals","eu_policy_area_health","SHARED_TOPIC","0.509","0","[""health"",""eu"",""european health"",""european"",""data""]"
"policy_areas_ensuring_equal_access_to_innovative","eu_policy_area_health","SHARED_TOPIC","0.502","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_health_and_safety_at_work","eu_policy_area_health","SHARED_TOPIC","0.611","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_promoting_health_and_well_being","eu_policy_area_health","SHARED_TOPIC","0.585","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eus_ai_strategy","eu_policy_area_health","SHARED_TOPIC","0.463","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","eu_policy_area_health","SHARED_TOPIC","0.904","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_missions","eu_missions_restore_our_ocean_and_waters","SHARED_TOPIC","0.705","6","[""europe"",""missions"",""horizon europe"",""horizon"",""deal""]"
"european_green_deal","eu_missions_restore_our_ocean_and_waters","SHARED_TOPIC","0.568","6","[""europe"",""missions"",""horizon europe"",""horizon"",""deal""]"
"eu_missions_restore_our_ocean_and_waters","eu_biodiversity_strategy_for_2030","SHARED_TOPIC","0.749","6","[""europe"",""missions"",""horizon europe"",""horizon"",""deal""]"
"eu_missions","eu_biodiversity_strategy_for_2030","SHARED_TOPIC","0.629","6","[""europe"",""missions"",""horizon europe"",""horizon"",""deal""]"
"european_green_deal","eu_biodiversity_strategy_for_2030","SHARED_TOPIC","0.629","6","[""europe"",""missions"",""horizon europe"",""horizon"",""deal""]"
"eu_policy_area_climate_change","eus_circular_economy_and_sustainable_bioeconomy","SHARED_TOPIC","0.553","5","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eu_policy_area_climate_change_and_cultural_heritage","eus_circular_economy_and_sustainable_bioeconomy","SHARED_TOPIC","0.499","5","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eu_strategy_on_adaptation_to_climate_change","eus_circular_economy_and_sustainable_bioeconomy","SHARED_TOPIC","0.544","5","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eu_policy_area_health","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.667","0","[""health"",""eu"",""european health"",""european"",""data""]"
"european_raw_materials_capacity_building","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.415","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu4health","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.61","0","[""health"",""eu"",""european health"",""european"",""data""]"
"european_econ","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.661","0","[""health"",""eu"",""european health"",""european"",""data""]"
"actions","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.575","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_antimicrobial_resistance","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.495","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_risk_assessment_of_chemicals","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.708","0","[""health"",""eu"",""european health"",""european"",""data""]"
"policy_areas_ensuring_equal_access_to_innovative","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.441","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_health_and_safety_at_work","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.749","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_promoting_health_and_well_being","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.679","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eus_ai_strategy","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.49","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","eu_strategy_for_a_sustainable_future","SHARED_TOPIC","0.708","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_a_sustainable_future","eu_strategy_for_rural_areas","SHARED_TOPIC","0.538","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_policy_area_health","eu_strategy_for_rural_areas","SHARED_TOPIC","0.448","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu4health","eu_strategy_for_rural_areas","SHARED_TOPIC","0.353","0","[""health"",""eu"",""european health"",""european"",""data""]"
"european_econ","eu_strategy_for_rural_areas","SHARED_TOPIC","0.561","0","[""health"",""eu"",""european health"",""european"",""data""]"
"actions","eu_strategy_for_rural_areas","SHARED_TOPIC","0.401","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_risk_assessment_of_chemicals","eu_strategy_for_rural_areas","SHARED_TOPIC","0.433","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_on_health_and_safety_at_work","eu_strategy_for_rural_areas","SHARED_TOPIC","0.434","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy_for_promoting_health_and_well_being","eu_strategy_for_rural_areas","SHARED_TOPIC","0.475","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eus_ai_strategy","eu_strategy_for_rural_areas","SHARED_TOPIC","0.42","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_health_industry","eu_strategy_for_rural_areas","SHARED_TOPIC","0.462","0","[""health"",""eu"",""european health"",""european"",""data""]"
"eu_strategy","eu_strategy_for_africa","SHARED_TOPIC","0.885","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"european_research_area_era_policy_agenda_actions","eu_strategy_for_africa","SHARED_TOPIC","0.856","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_strategy_for_2025_2027","eu_strategy_for_africa","SHARED_TOPIC","0.789","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"horizon_europe_strategic_plan","eu_strategy_for_africa","SHARED_TOPIC","0.825","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_strategy_3","eu_strategy_for_africa","SHARED_TOPIC","0.885","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"horizon_europe","eu_strategy_for_africa","SHARED_TOPIC","0.674","2","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_strategy_for_the_future_of_the_internet","eu_cap_network","SHARED_TOPIC","0.601","10","[""european"",""20"",""digital"",""network"",""union""]"
"eus_circular_economy_and_sustainable_bioeconomy","eu_policy_on_carbon_farming","SHARED_TOPIC","0.658","5","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eu_policy_area_climate_change","eu_policy_on_carbon_farming","SHARED_TOPIC","0.769","5","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eu_policy_area_climate_change_and_cultural_heritage","eu_policy_on_carbon_farming","SHARED_TOPIC","0.654","5","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eu_strategy_on_adaptation_to_climate_change","eu_policy_on_carbon_farming","SHARED_TOPIC","0.786","5","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eus_policy_framework_for_r_i_action","policy","SHARED_TOPIC","0.56","8","[""green"",""green deal"",""deal"",""european green"",""policies""]"
"european_unions_strategy_for_the_green_transition","policy","SHARED_TOPIC","0.409","8","[""green"",""green deal"",""deal"",""european green"",""policies""]"
